Id	Text	Date	Source	RetweetCount
1002212049391308800	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 15:35:47	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002209982148956161	Bank strike update: Banking services hit for 2nd day; operations likely to be normal tomorrow… https://t.co/XIzKWDhXNc	2018-05-31 15:27:34	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
1002207758098157569	RT @arundubeyM: #BankStrike 48 hours Bank Strike by one Million Bank Employees(Including Me) and Officers commences now demanding wage revi…	2018-05-31 15:18:44	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	89
1002207216764583936	Second day of bank strike: Less ATMs functional today - 70% compared to 80% yday. Also, more workers participated t… https://t.co/IjCWVfNtSr	2018-05-31 15:16:35	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	2
1002204872383614976	RT @Answers_to_None: @MJJJusticePrjct @MJDoggoneLover @corlista @ABC The Estate did exactly what it should have done &amp; what it has the lega…	2018-05-31 15:07:16	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	6
1002201900350038017	RT @Answers_to_None: @MJJJusticePrjct @MJDoggoneLover @corlista @ABC The Estate did exactly what it should have done &amp; what it has the lega…	2018-05-31 14:55:27	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	6
1002201693453512705	36# Indian bank employees take part in a strike in Kolkata, India. Banking services are expected to be severely imp… https://t.co/2zDbKhHwPo	2018-05-31 14:54:38	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
1002200235945463808	@MJJJusticePrjct @MJDoggoneLover @corlista @ABC The Estate did exactly what it should have done &amp; what it has the l… https://t.co/69DN4oqlr3	2018-05-31 14:48:50	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	6
1002197999257174017	RT @INCIndia: Farmers, soldiers and now bank employees. Modi Govt has managed to upset almost every segment of society. #BasEkAurSaal  http…	2018-05-31 14:39:57	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	530
1002197523392425984	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 14:38:04	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002197422091722752	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 14:37:40	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002196034628407297	RT @bsindia: #BankStrike day 2: #Bengal, #Kerala, #Bihar worst hit. How strike affected #banking services yesterday  https://t.co/oreMG6xJH…	2018-05-31 14:32:09	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5
1002195105741262849	1 million bank employees strike, public suffers https://t.co/kLqVTa8tkn https://t.co/iBkWUyjrWT	2018-05-31 14:28:27	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0
1002194172193923072	RT @cpimspeak: Bank employees across India are on a two-day strike from today in protest against the measly 2% hike in wages that have been…	2018-05-31 14:24:45	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	63
1002192075243180033	RT @msianinsight: 1 million bank workers go on strike in India https://t.co/bauYEq2YVT	2018-05-31 14:16:25	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	2
1002191487868768257	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 14:14:05	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002187394941050881	RT @INCIndia: Farmers, soldiers and now bank employees. Modi Govt has managed to upset almost every segment of society. #BasEkAurSaal  http…	2018-05-31 13:57:49	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	530
1002186233798279168	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:53:12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002185611011280898	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:50:44	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002185278750998530	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:49:24	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002183310578278400	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:41:35	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002183284288245760	RT @cpimspeak: Bank employees across India are on a two-day strike from today in protest against the measly 2% hike in wages that have been…	2018-05-31 13:41:29	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	63
1002179033755504642	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:24:35	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002178904755392512	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:24:05	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002176330413281280	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:13:51	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	391
1002174669544345600	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:07:15	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002174263057682432	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 13:05:38	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002174259307794432	RT @IndianExpress: #InPics Two-day bank strike: As services are hit across India, unions call it “total success” https://t.co/g9mo8nD2yG ht…	2018-05-31 13:05:37	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5
1002172310537859072	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 12:57:52	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002170818397327360	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 12:51:57	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
